iter	Passed	Remaining
474	649	718
475	650	716
476	651	714
477	652	712
478	653	710
479	654	708
480	655	707
481	656	705
482	657	703
483	658	701
484	659	700
485	660	698
486	661	696
487	662	694
488	663	693
489	664	691
490	665	689
491	666	687
492	667	686
493	668	684
494	668	682
495	669	680
496	671	679
497	672	678
498	674	676
499	675	675
500	675	673
501	677	671
502	678	670
503	679	668
504	680	666
505	681	665
506	682	663
507	683	661
508	684	660
509	686	659
510	687	658
511	688	656
512	689	654
513	691	653
514	692	651
515	693	650
516	694	648
517	695	647
518	696	645
519	697	643
520	698	642
521	699	640
522	701	639
523	702	638
524	703	636
525	704	634
526	705	633
527	706	631
528	707	630
529	708	628
530	710	627
531	711	625
532	712	623
533	713	622
534	715	621
535	716	620
536	718	619
537	719	617
538	720	616
539	721	614
540	722	613
541	724	611
542	725	610
543	728	610
544	731	610
545	733	609
546	734	608
547	735	606
548	736	605
549	737	603
550	738	602
551	740	600
552	741	599
553	742	597
554	743	595
555	745	595
556	746	593
557	747	592
558	748	590
559	749	589
560	750	587
561	751	585
562	752	584
563	753	582
564	754	580
565	755	579
566	756	577
567	757	575
568	758	574
569	759	573
570	761	572
571	762	570
572	763	568
573	764	567
574	765	565
575	766	564
576	767	562
577	768	561
578	770	559
579	770	558
580	772	556
581	773	555
582	775	554
583	776	553
584	777	551
585	778	550
586	779	548
587	780	546
588	781	545
589	782	543
590	783	542
591	784	540
592	785	538
593	786	537
594	787	535
595	788	534
596	788	532
597	790	531
598	791	529
599	792	528
600	793	526
601	794	524
602	795	523
603	796	521
604	797	520
605	798	518
606	799	517
607	800	515
608	801	514
609	801	512
610	802	511
611	803	509
612	805	508
613	806	506
614	807	505
615	808	503
616	809	502
617	810	500
618	811	499
619	812	497
620	813	496
621	814	495
622	815	493
623	816	492
624	817	490
625	819	489
626	820	488
627	821	486
628	822	485
629	823	483
630	824	482
631	825	480
632	826	479
633	827	477
634	828	476
635	829	474
636	830	473
637	831	471
638	832	470
639	833	468
640	834	467
641	835	466
642	837	464
643	837	463
644	838	461
645	839	460
646	840	458
647	841	457
648	843	456
649	844	454
650	845	453
651	846	451
652	847	450
653	848	448
654	849	447
655	850	446
656	851	444
657	852	443
658	853	441
659	854	440
660	855	438
661	856	437
662	857	435
663	858	434
664	858	432
665	859	431
666	860	429
667	861	428
668	862	426
669	863	425
670	864	423
671	865	422
672	866	421
673	867	419
674	868	418
675	869	416
676	870	415
677	871	413
678	872	412
679	873	410
680	874	409
681	875	407
682	875	406
683	876	405
684	877	403
685	878	402
686	879	400
687	880	399
688	881	397
689	882	396
690	883	395
691	884	393
692	885	392
693	886	390
694	887	389
695	888	387
696	889	386
697	890	385
698	890	383
699	891	382
700	892	380
701	893	379
702	894	377
703	895	376
704	896	375
705	897	373
706	898	372
707	899	371
708	900	369
709	901	368
710	901	366
711	902	365
712	903	363
713	904	362
714	905	361
715	906	359
716	907	358
717	908	356
718	909	355
719	910	354
720	911	352
721	912	351
722	913	349
723	914	348
724	915	347
725	916	345
726	917	344
727	918	343
728	919	341
729	920	340
730	920	338
731	921	337
732	922	336
733	923	334
734	924	333
735	925	332
736	926	330
737	927	329
738	928	328
739	929	326
740	930	325
741	931	323
742	932	322
743	933	321
744	934	319
745	935	318
746	936	317
747	937	315
748	938	314
749	938	312
750	939	311
751	941	310
752	942	309
753	942	307
754	943	306
755	944	304
756	945	303
757	946	302
758	947	300
759	948	299
760	949	298
761	950	296
762	951	295
763	952	294
764	953	292
765	954	291
766	955	290
767	956	288
768	957	287
769	958	286
770	958	284
771	959	283
772	960	282
773	961	280
774	962	279
775	963	278
776	964	276
777	965	275
778	966	274
779	967	272
780	968	271
781	969	270
782	970	268
783	971	267
784	972	266
785	973	264
786	973	263
787	974	262
788	975	260
789	976	259
790	977	258
791	978	257
792	979	255
793	980	254
794	981	253
795	982	251
796	983	250
797	984	249
798	985	247
799	986	246
800	986	245
801	987	243
802	988	242
803	989	241
804	990	239
805	991	238
806	992	237
807	993	236
808	994	234
809	995	233
810	996	232
811	997	230
812	998	229
813	999	228
814	1000	227
815	1001	225
816	1002	224
817	1003	223
818	1004	222
819	1005	220
820	1006	219
821	1007	218
822	1008	216
823	1009	215
824	1010	214
825	1011	213
826	1012	211
827	1013	210
828	1014	209
829	1014	207
830	1016	206
831	1017	205
832	1018	204
833	1019	202
834	1020	201
835	1021	200
836	1021	199
837	1022	197
838	1023	196
839	1024	195
840	1025	193
841	1026	192
842	1027	191
843	1028	190
844	1029	188
845	1030	187
846	1031	186
847	1032	185
848	1033	183
849	1034	182
850	1035	181
851	1036	180
852	1037	178
853	1038	177
854	1039	176
855	1040	174
856	1040	173
857	1041	172
858	1042	171
859	1043	169
860	1044	168
861	1045	167
862	1046	166
863	1047	164
864	1048	163
865	1049	162
866	1050	161
867	1051	159
868	1052	158
869	1053	157
870	1054	156
871	1055	154
872	1056	153
873	1057	152
874	1058	151
875	1059	149
876	1060	148
877	1061	147
878	1062	146
879	1063	145
880	1064	143
881	1065	142
882	1066	141
883	1067	140
884	1068	138
885	1069	137
886	1070	136
887	1071	135
888	1072	133
889	1073	132
890	1074	131
891	1075	130
892	1077	129
893	1079	127
894	1080	126
895	1082	125
896	1084	124
897	1085	123
898	1086	122
899	1087	120
900	1088	119
901	1089	118
902	1091	117
903	1092	116
904	1093	114
905	1094	113
906	1095	112
907	1096	111
908	1097	109
909	1098	108
910	1099	107
911	1100	106
912	1101	104
913	1102	103
914	1103	102
915	1104	101
916	1105	100
917	1107	98
918	1108	97
919	1109	96
920	1110	95
921	1111	94
922	1112	92
923	1113	91
924	1114	90
925	1115	89
926	1116	87
927	1118	86
928	1119	85
929	1120	84
930	1121	83
931	1123	81
932	1124	80
933	1125	79
934	1127	78
935	1129	77
936	1130	76
937	1131	74
938	1132	73
939	1133	72
940	1134	71
941	1136	69
942	1137	68
943	1138	67
944	1139	66
945	1139	65
946	1140	63
947	1141	62
948	1142	61
949	1144	60
950	1145	59
951	1146	57
952	1147	56
953	1148	55
954	1149	54
955	1151	53
956	1153	51
957	1154	50
958	1155	49
959	1156	48
960	1157	46
961	1158	45
962	1159	44
963	1160	43
964	1161	42
965	1161	40
966	1163	39
967	1164	38
968	1165	37
969	1166	36
970	1167	34
971	1168	33
972	1169	32
973	1170	31
974	1171	30
975	1172	28
976	1173	27
977	1174	26
978	1176	25
979	1177	24
980	1177	22
981	1178	21
982	1180	20
983	1181	19
984	1182	18
985	1183	16
986	1184	15
987	1185	14
988	1186	13
989	1187	11
990	1188	10
991	1189	9
992	1190	8
993	1191	7
994	1191	5
995	1192	4
996	1193	3
997	1195	2
998	1196	1
999	1197	0
